document_id,chunk_id,entity_type,entity_id,text,language,embed,city,region,category,latitude,longitude,rating,rating_scale,rating_norm,price_sar,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
places_00033,,place,places_00033,Everyday Coffee Roastery — restaurants in Riyadh. Rated 4.4/5 (1955 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6658529,46.7284382,4.4,5.0,0.8800000000000001,,riyadh_places_kaggle,34.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00034,,place,places_00034,Methaas Bakery &amp; Desserts — restaurants in Riyadh. (0 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6289679,46.7393167,,5.0,,,riyadh_places_kaggle,35.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00035,,place,places_00035,Kudu — restaurants in Riyadh. Rated 4.2/5 (377 reviews).,en,True,Riyadh,Riyadh,restaurants,24.666438,46.724525,4.2,5.0,0.8400000000000001,,riyadh_places_kaggle,36.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00036,,place,places_00036,Alkhafeef — restaurants in Riyadh. Rated 4.4/5 (111 reviews).,en,True,Riyadh,Riyadh,restaurants,24.66645625,46.7246701,4.4,5.0,0.8800000000000001,,riyadh_places_kaggle,37.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00037,,place,places_00037,Juice Time — restaurants in Riyadh. Rated 4.6/5 (580 reviews).,en,True,Riyadh,Riyadh,restaurants,24.665279,46.7314387,4.6,5.0,0.9199999999999999,,riyadh_places_kaggle,38.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00038,,place,places_00038,Maestro Pizza — restaurants in Riyadh. Rated 4.3/5 (290 reviews).,en,True,Riyadh,Riyadh,restaurants,24.66614,46.7308,4.3,5.0,0.86,,riyadh_places_kaggle,39.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00039,,place,places_00039,Pinzatta — restaurants in Riyadh. Rated 4.2/5 (25 reviews).,en,True,Riyadh,Riyadh,restaurants,24.66614135,46.7308491,4.2,5.0,0.8400000000000001,,riyadh_places_kaggle,40.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00040,,place,places_00040,Mad Pizza — restaurants in Riyadh. Rated 3.9/5 (50 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6661706,46.7309242,3.9,5.0,0.78,,riyadh_places_kaggle,41.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00041,,place,places_00041,Red Chilli — restaurants in Riyadh. Rated 4.5/5 (233 reviews).,en,True,Riyadh,Riyadh,restaurants,24.665103,46.710423,4.5,5.0,0.9,,riyadh_places_kaggle,42.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00042,,place,places_00042,Red Cherry For Sweets — restaurants in Riyadh. Rated 4.6/5 (218 reviews).,en,True,Riyadh,Riyadh,restaurants,24.66536106,46.71036925,4.6,5.0,0.9199999999999999,,riyadh_places_kaggle,43.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00043,,place,places_00043,Hamburgini Burger — restaurants in Riyadh. Rated 4.1/5 (1422 reviews).,en,True,Riyadh,Riyadh,restaurants,24.668276,46.730204,4.1,5.0,0.82,,riyadh_places_kaggle,44.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00044,,place,places_00044,Green Health — pharmacies in Riyadh. Rated 4.8/5 (79 reviews).,en,True,Riyadh,Riyadh,pharmacies,24.6574337,46.7008237,4.8,5.0,0.96,,riyadh_places_kaggle,45.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00045,,place,places_00045,Eletna Restaurant — restaurants in Riyadh. Rated 5.0/5 (3 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6675753,46.7333194,5.0,5.0,1.0,,riyadh_places_kaggle,46.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00046,,place,places_00046,Kaaket Falafel — restaurants in Riyadh. Rated 3.6/5 (5 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6675753,46.7333194,3.6,5.0,0.72,,riyadh_places_kaggle,47.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00047,,place,places_00047,Mission Falafel - Riyadh — restaurants in Riyadh. Rated 3.8/5 (87 reviews).,en,True,Riyadh,Riyadh,restaurants,24.66766105,46.73320251,3.8,5.0,0.76,,riyadh_places_kaggle,48.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00048,,place,places_00048,Hashem — restaurants in Riyadh. Rated 4.4/5 (732 reviews).,en,True,Riyadh,Riyadh,restaurants,24.667725,46.733273,4.4,5.0,0.8800000000000001,,riyadh_places_kaggle,49.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00049,,place,places_00049,SHALIMAR MUMTAZ RESTAURANT &amp; BAKERS — restaurants in Riyadh. Rated 4.1/5 (378 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6678035,46.7117402,4.1,5.0,0.82,,riyadh_places_kaggle,50.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00050,,place,places_00050,Ponnusamy — restaurants in Riyadh. Rated 4.0/5 (181 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6635425,46.7044087,4.0,5.0,0.8,,riyadh_places_kaggle,51.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00051,,place,places_00051,Al Karama Sweets — restaurants in Riyadh. Rated 4.1/5 (32 reviews).,en,True,Riyadh,Riyadh,restaurants,24.669576,46.731899,4.1,5.0,0.82,,riyadh_places_kaggle,52.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00052,,place,places_00052,Al Mehbaj — nuts_and_dried_fruits in Riyadh. Rated 4.7/5 (34 reviews).,en,True,Riyadh,Riyadh,nuts_and_dried_fruits,24.66385214,46.70385649,4.7,5.0,0.9400000000000001,,riyadh_places_kaggle,53.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00053,,place,places_00053,Salman Sweets — restaurants in Riyadh. Rated 3.3/5 (22 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6692098,46.712534,3.3,5.0,0.6599999999999999,,riyadh_places_kaggle,54.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00054,,place,places_00054,Al Mamlakah Sweets — restaurants in Riyadh. Rated 4.7/5 (41 reviews).,en,True,Riyadh,Riyadh,restaurants,24.670622,46.730931,4.7,5.0,0.9400000000000001,,riyadh_places_kaggle,55.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00055,,place,places_00055,Mugo land — specialty_and_ethnic in Riyadh. Rated 4.7/5 (50 reviews).,en,True,Riyadh,Riyadh,specialty_and_ethnic,24.6437536,46.6933715,4.7,5.0,0.9400000000000001,,riyadh_places_kaggle,56.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00056,,place,places_00056,Wahat Al Aseer — restaurants in Riyadh. Rated 3.0/5 (4 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6170456,46.7227435,3.0,5.0,0.6,,riyadh_places_kaggle,57.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00057,,place,places_00057,Pizza Hut — restaurants in Riyadh. Rated 4.2/5 (435 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6759146,46.7274594,4.2,5.0,0.8400000000000001,,riyadh_places_kaggle,58.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00058,,place,places_00058,Tim Horton — restaurants in Riyadh. Rated 4.2/5 (162 reviews).,en,True,Riyadh,Riyadh,restaurants,24.666095,46.697692,4.2,5.0,0.8400000000000001,,riyadh_places_kaggle,59.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00059,,place,places_00059,Wasfa Pharmacy — pharmacies in Riyadh. Rated 4.7/5 (115 reviews).,en,True,Riyadh,Riyadh,pharmacies,24.62024364,46.70183612,4.7,5.0,0.9400000000000001,,riyadh_places_kaggle,60.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00060,,place,places_00060,Baja — restaurants in Riyadh. Rated 4.7/5 (168 reviews).,en,True,Riyadh,Riyadh,restaurants,24.67701,46.727088,4.7,5.0,0.9400000000000001,,riyadh_places_kaggle,61.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00061,,place,places_00061,Cinnabon — restaurants in Riyadh. Rated 4.2/5 (310 reviews).,en,True,Riyadh,Riyadh,restaurants,24.630152,46.691963,4.2,5.0,0.8400000000000001,,riyadh_places_kaggle,62.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00062,,place,places_00062,Golden Konafa — restaurants in Riyadh. Rated 4.6/5 (27 reviews).,en,True,Riyadh,Riyadh,restaurants,24.618341,46.745459,4.6,5.0,0.9199999999999999,,riyadh_places_kaggle,63.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00063,,place,places_00063,Ranosh — restaurants in Riyadh. Rated 4.7/5 (72 reviews).,en,True,Riyadh,Riyadh,restaurants,24.629651,46.691035,4.7,5.0,0.9400000000000001,,riyadh_places_kaggle,64.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00064,,place,places_00064,Sham sweets — restaurants in Riyadh. Rated 5.0/5 (5 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6129625,46.710251,5.0,5.0,1.0,,riyadh_places_kaggle,65.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00065,,place,places_00065,Mille Feuille — restaurants in Riyadh. Rated 4.2/5 (84 reviews).,en,True,Riyadh,Riyadh,restaurants,24.679129,46.729099,4.2,5.0,0.8400000000000001,,riyadh_places_kaggle,66.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00066,,place,places_00066,SETTE — restaurants in Riyadh. Rated 4.8/5 (72 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6793517,46.71910372,4.8,5.0,0.96,,riyadh_places_kaggle,67.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00067,,place,places_00067,Serrano — restaurants in Riyadh. Rated 1.8/5 (4 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6793712,46.7190769,1.8,5.0,0.36,,riyadh_places_kaggle,68.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00068,,place,places_00068,Sweets Corner — restaurants in Riyadh. Rated 4.5/5 (35 reviews).,en,True,Riyadh,Riyadh,restaurants,24.679418,46.719377,4.5,5.0,0.9,,riyadh_places_kaggle,69.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00069,,place,places_00069,Asian Taste — restaurants in Riyadh. Rated 4.0/5 (37 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6793506,46.7305577,4.0,5.0,0.8,,riyadh_places_kaggle,70.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00070,,place,places_00070,Meat Hub — Butchery in Riyadh. Rated 4.5/5 (107 reviews).,en,True,Riyadh,Riyadh,Butchery,24.677319,46.7080019,4.5,5.0,0.9,,riyadh_places_kaggle,71.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00071,,place,places_00071,Tanur Alfatirat Aldimashqiya — restaurants in Riyadh. Rated 4.2/5 (178 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6699126,46.7511926,4.2,5.0,0.8400000000000001,,riyadh_places_kaggle,72.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00072,,place,places_00072,Tolv — restaurants in Riyadh. Rated 4.6/5 (11 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6803565,46.7191064,4.6,5.0,0.9199999999999999,,riyadh_places_kaggle,73.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00073,,place,places_00073,Karam Hommus Restaruant — restaurants in Riyadh. Rated 3.5/5 (16 reviews).,en,True,Riyadh,Riyadh,restaurants,24.654253,46.744504,3.5,5.0,0.7,,riyadh_places_kaggle,74.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00074,,place,places_00074,Falafel Arafah — restaurants in Riyadh. Rated 4.1/5 (116 reviews).,en,True,Riyadh,Riyadh,restaurants,24.65533,46.744013,4.1,5.0,0.82,,riyadh_places_kaggle,75.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00075,,place,places_00075,Qasr Al Rukn Al Shami — restaurants in Riyadh. Rated 4.5/5 (17 reviews).,en,True,Riyadh,Riyadh,restaurants,24.637439,46.701838,4.5,5.0,0.9,,riyadh_places_kaggle,76.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00076,,place,places_00076,Pizza Corner — restaurants in Riyadh. Rated 4.6/5 (85 reviews).,en,True,Riyadh,Riyadh,restaurants,24.654863,46.744373,4.6,5.0,0.9199999999999999,,riyadh_places_kaggle,77.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00077,,place,places_00077,Anbar Al Sham — restaurants in Riyadh. Rated 4.3/5 (280 reviews).,en,True,Riyadh,Riyadh,restaurants,24.654553,46.744566,4.3,5.0,0.86,,riyadh_places_kaggle,78.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00078,,place,places_00078,Minha Multicuisine — restaurants in Riyadh. Rated 4.2/5 (125 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6663537,46.7251639,4.2,5.0,0.8400000000000001,,riyadh_places_kaggle,79.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00079,,place,places_00079,Square house cafe - — restaurants in Riyadh. Rated 5.0/5 (1 reviews).,en,True,Riyadh,Riyadh,restaurants,24.65811443,46.70503587,5.0,5.0,1.0,,riyadh_places_kaggle,80.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00080,,place,places_00080,Mahboob — restaurants in Riyadh. Rated 4.4/5 (453 reviews).,en,True,Riyadh,Riyadh,restaurants,24.665218,46.731444,4.4,5.0,0.8800000000000001,,riyadh_places_kaggle,81.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00081,,place,places_00081,Pizza&amp; more — restaurants in Riyadh. Rated 1.8/5 (4 reviews).,en,True,Riyadh,Riyadh,restaurants,24.65812257,46.70499147,1.8,5.0,0.36,,riyadh_places_kaggle,82.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00082,,place,places_00082,Pastatti — restaurants in Riyadh. Rated 4.7/5 (15 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6652969,46.7314819,4.7,5.0,0.9400000000000001,,riyadh_places_kaggle,83.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00083,,place,places_00083,Minyaki — restaurants in Riyadh. Rated 4.0/5 (148 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6286237,46.7390314,4.0,5.0,0.8,,riyadh_places_kaggle,84.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00084,,place,places_00084,Royal Tandor — restaurants in Riyadh. Rated 4.3/5 (283 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6286237,46.7390314,4.3,5.0,0.86,,riyadh_places_kaggle,85.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00085,,place,places_00085,Cheeso pizza — restaurants in Riyadh. Rated 3.2/5 (4 reviews).,en,True,Riyadh,Riyadh,restaurants,24.66528062,46.73157978,3.2,5.0,0.64,,riyadh_places_kaggle,86.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00086,,place,places_00086,Zouq Maharaja — restaurants in Riyadh. Rated 4.0/5 (237 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6287914,46.7394307,4.0,5.0,0.8,,riyadh_places_kaggle,87.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00087,,place,places_00087,Madghout Raydan — restaurants in Riyadh. Rated 3.9/5 (494 reviews).,en,True,Riyadh,Riyadh,restaurants,24.637439,46.701205,3.9,5.0,0.78,,riyadh_places_kaggle,88.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00088,,place,places_00088,Al Baik — restaurants in Riyadh. Rated 4.1/5 (11646 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6290159,46.7399009,4.1,5.0,0.82,,riyadh_places_kaggle,89.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00089,,place,places_00089,Cubano — restaurants in Riyadh. Rated 4.2/5 (117 reviews).,en,True,Riyadh,Riyadh,restaurants,24.628601,46.739527,4.2,5.0,0.8400000000000001,,riyadh_places_kaggle,90.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00090,,place,places_00090,Grill &amp; Rice Restaurant — restaurants in Riyadh. Rated 4.3/5 (1052 reviews).,en,True,Riyadh,Riyadh,restaurants,24.628601,46.739527,4.3,5.0,0.86,,riyadh_places_kaggle,91.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00091,,place,places_00091,Cone Zone — restaurants in Riyadh. Rated 4.7/5 (71 reviews).,en,True,Riyadh,Riyadh,restaurants,24.665646,46.731484,4.7,5.0,0.9400000000000001,,riyadh_places_kaggle,92.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00092,,place,places_00092,Mac Coy's — restaurants in Riyadh. Rated 4.0/5 (811 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6658717,46.731114,4.0,5.0,0.8,,riyadh_places_kaggle,93.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00093,,place,places_00093,Zaitoon — restaurants in Riyadh. Rated 3.8/5 (159 reviews).,en,True,Riyadh,Riyadh,restaurants,24.66532323,46.71171414,3.8,5.0,0.76,,riyadh_places_kaggle,94.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00094,,place,places_00094,Lorenzo Pizza — restaurants in Riyadh. Rated 4.5/5 (537 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6576106,46.7017866,4.5,5.0,0.9,,riyadh_places_kaggle,95.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00095,,place,places_00095,Al Tazaj — restaurants in Riyadh. Rated 4.4/5 (517 reviews).,en,True,Riyadh,Riyadh,restaurants,24.666225,46.711621,4.4,5.0,0.8800000000000001,,riyadh_places_kaggle,96.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00096,,place,places_00096,Food Corner — restaurants in Riyadh. Rated 4.2/5 (288 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6669023,46.7129918,4.2,5.0,0.8400000000000001,,riyadh_places_kaggle,97.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00097,,place,places_00097,Remarkable Chicken — restaurants in Riyadh. Rated 2.4/5 (5 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6683535,46.7302751,2.4,5.0,0.48,,riyadh_places_kaggle,98.0,,static,,2026-09-13T06:37:48.725748+00:00,False
